new_index,original_index,Contract Area,Number Of Trees,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Longitude,Latitude,Location,image_path
1038,2924,Highways,1,Acer campestre,Maple - Field,6,3,9,Semi-mature,-0.137851,51.526143,"(51.526143, -0.137851)",/content/drive/MyDrive/data/sample_image/1051.png
1039,2929,Highways,1,Acer campestre,Maple - Field,7,5,18,Semi-mature,-0.195069,51.560139,"(51.560139, -0.195069)",/content/drive/MyDrive/data/sample_image/1052.png
1040,3019,Housing,1,Acer campestre,Maple - Field,9,2,25,Semi-mature,-0.195069,51.560139,"(51.560139, -0.195069)",/content/drive/MyDrive/data/sample_image/1054.png
1041,3043,Parks,1,Acer campestre,Maple - Field,11,12,39,Semi-mature,-0.2031,51.54787,"(51.54787, -0.2031)",/content/drive/MyDrive/data/sample_image/1055.png
1042,3223,Highways,1,Acer campestre,Maple - Field,8,5,17,Semi-mature,-0.2031,51.54787,"(51.54787, -0.2031)",/content/drive/MyDrive/data/sample_image/1056.png
1043,3260,Highways,1,Acer campestre,Maple - Field,7,4,15,Semi-mature,-0.2022,51.551169,"(51.551169, -0.2022)",/content/drive/MyDrive/data/sample_image/1058.png
1044,5677,Parks,1,Acer campestre,Maple - Field,10,7,21,Semi-mature,-0.2022,51.551169,"(51.551169, -0.2022)",/content/drive/MyDrive/data/sample_image/1059.png
1045,5732,Housing,1,Acer campestre,Maple - Field,7,3,9,Young,-0.2022,51.551169,"(51.551169, -0.2022)",/content/drive/MyDrive/data/sample_image/1060.png
1046,5797,Housing,1,Acer campestre,Maple - Field,6,3,11,Semi-mature,-0.123883,51.519772,"(51.519772, -0.123883)",/content/drive/MyDrive/data/sample_image/1061.png
1047,5912,Highways,1,Acer campestre,Maple - Field,8,6,39,Mature,-0.123883,51.519772,"(51.519772, -0.123883)",/content/drive/MyDrive/data/sample_image/1062.png
1048,5994,Parks,1,Acer campestre,Maple - Field,5,4,10,Semi-mature,-0.204175,51.55392,"(51.55392, -0.204175)",/content/drive/MyDrive/data/sample_image/1065.png
1049,6042,Highways,1,Acer campestre,Maple - Field,9,5,22,Mature,-0.204175,51.55392,"(51.55392, -0.204175)",/content/drive/MyDrive/data/sample_image/1066.png
1050,6164,Highways,1,Acer campestre,Maple - Field,5,3,7,Young,-0.148355,51.557788,"(51.557788, -0.148355)",/content/drive/MyDrive/data/sample_image/1067.png
1051,6173,Highways,1,Acer campestre,Maple - Field,12,6,29,Mature,-0.148355,51.557788,"(51.557788, -0.148355)",/content/drive/MyDrive/data/sample_image/1068.png
1052,6191,Highways,1,Acer campestre,Maple - Field,5,3,10,Semi-mature,-0.148355,51.557788,"(51.557788, -0.148355)",/content/drive/MyDrive/data/sample_image/1069.png
1053,6395,Highways,1,Acer campestre,Maple - Field,5,3,8,Young,-0.124665,51.52064,"(51.52064, -0.124665)",/content/drive/MyDrive/data/sample_image/1070.png
1054,8324,Housing,1,Acer campestre,Maple - Field,10,6,30,Mature,-0.124665,51.52064,"(51.52064, -0.124665)",/content/drive/MyDrive/data/sample_image/1071.png
1055,8522,Highways,1,Acer campestre,Maple - Field,6,3,12,Semi-mature,-0.124665,51.52064,"(51.52064, -0.124665)",/content/drive/MyDrive/data/sample_image/1072.png
1056,8530,Highways,1,Acer campestre,Maple - Field,8,5,19,Semi-mature,-0.13644,51.521627,"(51.521627, -0.13644)",/content/drive/MyDrive/data/sample_image/1073.png
1057,8692,Highways,1,Acer campestre,Maple - Field,9,4,38,Mature,-0.13644,51.521627,"(51.521627, -0.13644)",/content/drive/MyDrive/data/sample_image/1074.png
1058,8831,Highways,1,Acer campestre,Maple - Field,6,5,10,Young,-0.169673,51.545704,"(51.545704, -0.169673)",/content/drive/MyDrive/data/sample_image/1076.png
1059,8881,Highways,1,Acer campestre,Maple - Field,14,10,38,Mature,-0.169673,51.545704,"(51.545704, -0.169673)",/content/drive/MyDrive/data/sample_image/1077.png
1060,8959,Housing,1,Acer campestre,Maple - Field,9,4,22,Semi-mature,-0.169673,51.545704,"(51.545704, -0.169673)",/content/drive/MyDrive/data/sample_image/1078.png
1061,9028,Highways,1,Acer campestre,Maple - Field,5,5,22,Semi-mature,-0.186505,51.56231,"(51.56231, -0.186505)",/content/drive/MyDrive/data/sample_image/1081.png
1062,9049,Highways,1,Acer campestre,Maple - Field,13,8,44,Mature,-0.186514,51.556911,"(51.556911, -0.186514)",/content/drive/MyDrive/data/sample_image/1082.png
1063,9054,Highways,1,Acer campestre,Maple - Field,12,6,37,Semi-mature,-0.191503,51.547927,"(51.547927, -0.191503)",/content/drive/MyDrive/data/sample_image/1085.png
1064,9105,Housing,1,Acer campestre,Maple - Field,13,6,30,Mature,-0.191503,51.547927,"(51.547927, -0.191503)",/content/drive/MyDrive/data/sample_image/1086.png
1065,9118,Highways,1,Acer campestre,Maple - Field,9,5,19,Semi-mature,-0.141314,51.561891,"(51.561891, -0.141314)",/content/drive/MyDrive/data/sample_image/1088.png
1066,9193,Highways,1,Acer campestre,Maple - Field,4,1,4,Young,-0.141314,51.561891,"(51.561891, -0.141314)",/content/drive/MyDrive/data/sample_image/1089.png
1067,9243,Parks,1,Acer campestre,Maple - Field,7,5,18,Early mature,-0.152104,51.553237,"(51.553237, -0.152104)",/content/drive/MyDrive/data/sample_image/1092.png
1068,9246,Highways,1,Acer campestre,Maple - Field,9,4,19,Semi-mature,-0.152104,51.553237,"(51.553237, -0.152104)",/content/drive/MyDrive/data/sample_image/1093.png
1069,9262,Parks,1,Acer campestre,Maple - Field,2,2,1,Young,-0.118433,51.521661,"(51.521661, -0.118433)",/content/drive/MyDrive/data/sample_image/1094.png
1070,9306,Highways,1,Acer campestre,Maple - Field,4,3,11,Semi-mature,-0.118433,51.521661,"(51.521661, -0.118433)",/content/drive/MyDrive/data/sample_image/1095.png
1071,9484,Highways,1,Acer campestre,Maple - Field,6,6,19,Semi-mature,-0.118433,51.521661,"(51.521661, -0.118433)",/content/drive/MyDrive/data/sample_image/1096.png
1072,9486,Highways,1,Acer campestre,Maple - Field,6,4,14,Semi-mature,-0.117804,51.523974,"(51.523974, -0.117804)",/content/drive/MyDrive/data/sample_image/1097.png
1073,9523,Housing,1,Acer campestre,Maple - Field,10,6,41,Mature,-0.117804,51.523974,"(51.523974, -0.117804)",/content/drive/MyDrive/data/sample_image/1099.png
28,9584,Housing,1,Acer platanoides,Maple - Norway,15,8,36,Semi-mature,-0.148744,51.552031,"(51.552031, -0.148744)",/content/drive/MyDrive/data/sample_image/28.png
51,13397,Highways,1,Acer platanoides,Maple - Norway,13,8,53,Mature,-0.180375,51.541934,"(51.541934, -0.180375)",/content/drive/MyDrive/data/sample_image/51.png
111,13603,Highways,1,Acer platanoides,Maple - Norway,4,4,8,Semi-mature,-0.152706,51.538292,"(51.538292, -0.152706)",/content/drive/MyDrive/data/sample_image/111.png
140,17342,Highways,1,Acer platanoides,Maple - Norway,12,7,32,Semi-mature,-0.133077,51.534078,"(51.534078, -0.133077)",/content/drive/MyDrive/data/sample_image/140.png
152,19074,Housing,1,Acer platanoides,Maple - Norway,15,5,46,Mature,-0.132811,51.539031,"(51.539031, -0.132811)",/content/drive/MyDrive/data/sample_image/152.png
168,17853,Highways,1,Acer platanoides,Maple - Norway,11,6,41,Mature,-0.198124,51.551584,"(51.551584, -0.198124)",/content/drive/MyDrive/data/sample_image/168.png
184,8612,Housing,1,Acer platanoides,Maple - Norway,14,8,41,Mature,-0.138573,51.543225,"(51.543225, -0.138573)",/content/drive/MyDrive/data/sample_image/184.png
191,24054,Highways,1,Acer platanoides,Maple - Norway,12,8,40,Mature,-0.188742,51.541995,"(51.541995, -0.188742)",/content/drive/MyDrive/data/sample_image/191.png
256,7346,Highways,1,Acer platanoides,Maple - Norway,15,9,42,Mature,-0.167117,51.551059,"(51.551059, -0.167117)",/content/drive/MyDrive/data/sample_image/256.png
304,17927,Highways,1,Acer platanoides,Maple - Norway,10,6.5,32,Semi-mature,-0.131929,51.534524,"(51.534524, -0.131929)",/content/drive/MyDrive/data/sample_image/304.png
309,9126,Highways,1,Acer platanoides,Maple - Norway,14,5,32,Mature,-0.107936,51.522052,"(51.522052, -0.107936)",/content/drive/MyDrive/data/sample_image/309.png
330,5663,Highways,1,Acer platanoides,Maple - Norway,5,3,12,Semi-mature,-0.112318,51.523529,"(51.523529, -0.112318)",/content/drive/MyDrive/data/sample_image/330.png
347,11805,Highways,1,Acer platanoides,Maple - Norway,7,4,18,Semi-mature,-0.165168,51.540907,"(51.540907, -0.165168)",/content/drive/MyDrive/data/sample_image/347.png
372,23786,Highways,1,Acer platanoides,Maple - Norway,11,6,47,Mature,-0.201633,51.545987,"(51.545987, -0.201633)",/content/drive/MyDrive/data/sample_image/372.png
383,6642,Highways,1,Acer platanoides,Maple - Norway,8,6,26,Mature,-0.164456,51.542612,"(51.542612, -0.164456)",/content/drive/MyDrive/data/sample_image/383.png
390,1717,Housing,1,Acer platanoides,Maple - Norway,16,9,52,Mature,-0.149175,51.552151,"(51.552151, -0.149175)",/content/drive/MyDrive/data/sample_image/390.png
414,10891,Housing,1,Acer platanoides,Maple - Norway,15,8,43,Semi-mature,-0.148763,51.551992,"(51.551992, -0.148763)",/content/drive/MyDrive/data/sample_image/414.png
463,4374,Highways,1,Acer platanoides,Maple - Norway,10,4,34,Semi-mature,-0.194646,51.545903,"(51.545903, -0.194646)",/content/drive/MyDrive/data/sample_image/463.png
493,17800,Housing,1,Acer platanoides,Maple - Norway,14,9,65,Mature,-0.138437,51.536167,"(51.536167, -0.138437)",/content/drive/MyDrive/data/sample_image/493.png
514,16688,Housing,1,Acer platanoides,Maple - Norway,9,7,28,Semi-mature,-0.143722,51.527781,"(51.527781, -0.143722)",/content/drive/MyDrive/data/sample_image/514.png
532,9138,Highways,1,Acer platanoides,Maple - Norway,10,5,32,Semi-mature,-0.210806,51.553237,"(51.553237, -0.210806)",/content/drive/MyDrive/data/sample_image/532.png
590,6635,Housing,1,Acer platanoides,Maple - Norway,13,9,44,Mature,-0.176143,51.542722,"(51.542722, -0.176143)",/content/drive/MyDrive/data/sample_image/590.png
596,19329,Highways,1,Acer platanoides,Maple - Norway,7,5,31,Mature,-0.1958,51.543613,"(51.543613, -0.1958)",/content/drive/MyDrive/data/sample_image/596.png
630,16842,Highways,1,Acer platanoides,Maple - Norway,10,6,33,Semi-mature,-0.187443,51.546333,"(51.546333, -0.187443)",/content/drive/MyDrive/data/sample_image/630.png
655,2217,Highways,1,Acer platanoides,Maple - Norway,7,4,24,Semi-mature,-0.123843,51.525295,"(51.525295, -0.123843)",/content/drive/MyDrive/data/sample_image/655.png
679,5746,Highways,1,Acer platanoides,Maple - Norway,10,3,27,Semi-mature,-0.154204,51.549815,"(51.549815, -0.154204)",/content/drive/MyDrive/data/sample_image/679.png
680,2788,Highways,1,Acer platanoides,Maple - Norway,9,6,40,Mature,-0.194781,51.543638,"(51.543638, -0.194781)",/content/drive/MyDrive/data/sample_image/680.png
816,16642,Highways,1,Acer platanoides,Maple - Norway,9,5,47,Semi-mature,-0.198064,51.551219,"(51.551219, -0.198064)",/content/drive/MyDrive/data/sample_image/816.png
818,13320,Housing,1,Acer platanoides,Maple - Norway,16,8,33,Semi-mature,-0.13152,51.539307,"(51.539307, -0.13152)",/content/drive/MyDrive/data/sample_image/818.png
819,14480,Highways,1,Acer platanoides,Maple - Norway,13,7,38,Semi-mature,-0.188294,51.541802,"(51.541802, -0.188294)",/content/drive/MyDrive/data/sample_image/819.png
820,11966,Housing,1,Acer platanoides,Maple - Norway,14,6,43,Mature,-0.13146,51.545644,"(51.545644, -0.13146)",/content/drive/MyDrive/data/sample_image/820.png
822,22916,Housing,1,Acer platanoides,Maple - Norway,16,8,54,Semi-mature,-0.150104,51.552153,"(51.552153, -0.150104)",/content/drive/MyDrive/data/sample_image/822.png
823,21524,Highways,1,Acer platanoides,Maple - Norway,18,10,51,Mature,-0.133193,51.53419,"(51.53419, -0.133193)",/content/drive/MyDrive/data/sample_image/823.png
1074,89,Housing,1,Acer platanoides,Maple - Norway,18,10,61,Mature,-0.175656,51.549843,"(51.549843, -0.175656)",/content/drive/MyDrive/data/sample_image/1100.png
1075,215,Highways,1,Acer platanoides,Maple - Norway,11,7,47,Semi-mature,-0.195628,51.547331,"(51.547331, -0.195628)",/content/drive/MyDrive/data/sample_image/1103.png
1076,234,Highways,1,Acer platanoides,Maple - Norway,12,8,32,Mature,-0.168546,51.539793,"(51.539793, -0.168546)",/content/drive/MyDrive/data/sample_image/1105.png
1077,333,Highways,1,Acer platanoides,Maple - Norway,9,4,32,Semi-mature,-0.196128,51.560265,"(51.560265, -0.196128)",/content/drive/MyDrive/data/sample_image/1106.png
1078,368,Highways,1,Acer platanoides,Maple - Norway,18,10,53,Mature,-0.132342,51.533362,"(51.533362, -0.132342)",/content/drive/MyDrive/data/sample_image/1107.png
1079,372,Housing,1,Acer platanoides,Maple - Norway,13,8,36,Mature,-0.158445,51.553029,"(51.553029, -0.158445)",/content/drive/MyDrive/data/sample_image/1108.png
1080,420,Housing,1,Acer platanoides,Maple - Norway,11,8,32,Semi-mature,-0.182891,51.539645,"(51.539645, -0.182891)",/content/drive/MyDrive/data/sample_image/1109.png
1081,474,Parks,1,Acer platanoides,Maple - Norway,15,9,37,Mature,-0.140575,51.551842,"(51.551842, -0.140575)",/content/drive/MyDrive/data/sample_image/1111.png
1082,500,Highways,1,Acer platanoides,Maple - Norway,9,8,41,Semi-mature,-0.198813,51.550856,"(51.550856, -0.198813)",/content/drive/MyDrive/data/sample_image/1112.png
1083,542,Housing,1,Acer platanoides,Maple - Norway,15,10,47,Mature,-0.185912,51.538575,"(51.538575, -0.185912)",/content/drive/MyDrive/data/sample_image/1113.png
1084,733,Housing,1,Acer platanoides,Maple - Norway,15,10,52,Mature,-0.153146,51.553306,"(51.553306, -0.153146)",/content/drive/MyDrive/data/sample_image/1114.png
1085,792,Parks,1,Acer platanoides,Maple - Norway,16,7,32,Semi-mature,-0.134425,51.552017,"(51.552017, -0.134425)",/content/drive/MyDrive/data/sample_image/1115.png
1086,864,Highways,1,Acer platanoides,Maple - Norway,15,7,47,Mature,-0.128967,51.529987,"(51.529987, -0.128967)",/content/drive/MyDrive/data/sample_image/1117.png
1087,884,Highways,1,Acer platanoides,Maple - Norway,10,5,26,Semi-mature,-0.156478,51.550783,"(51.550783, -0.156478)",/content/drive/MyDrive/data/sample_image/1118.png
1088,924,Housing,1,Acer platanoides,Maple - Norway,17,10,33,Mature,-0.138784,51.54288,"(51.54288, -0.138784)",/content/drive/MyDrive/data/sample_image/1119.png
1089,1011,Highways,1,Acer platanoides,Maple - Norway,17,13,52,Mature,-0.124494,51.525157,"(51.525157, -0.124494)",/content/drive/MyDrive/data/sample_image/1120.png
1090,1071,Housing,1,Acer platanoides,Maple - Norway,17,9,42,Mature,-0.140375,51.534736,"(51.534736, -0.140375)",/content/drive/MyDrive/data/sample_image/1122.png
1091,1159,Highways,1,Acer platanoides,Maple - Norway,7,4,13,Semi-mature,-0.158063,51.552845,"(51.552845, -0.158063)",/content/drive/MyDrive/data/sample_image/1123.png
1092,1323,Housing,1,Acer platanoides,Maple - Norway,15,10,39,Semi-mature,-0.188999,51.537355,"(51.537355, -0.188999)",/content/drive/MyDrive/data/sample_image/1124.png
1093,1325,Housing,1,Acer platanoides,Maple - Norway,12,10,50,Mature,-0.143283,51.555199,"(51.555199, -0.143283)",/content/drive/MyDrive/data/sample_image/1126.png
1094,1346,Housing,1,Acer platanoides,Maple - Norway,10,8,44,Mature,-0.177368,51.540697,"(51.540697, -0.177368)",/content/drive/MyDrive/data/sample_image/1127.png
1095,1382,Housing,1,Acer platanoides,Maple - Norway,10,8,60,Mature,-0.192283,51.555102,"(51.555102, -0.192283)",/content/drive/MyDrive/data/sample_image/1128.png
1096,1404,Highways,1,Acer platanoides,Maple - Norway,17,15,40,Mature,-0.122478,51.524742,"(51.524742, -0.122478)",/content/drive/MyDrive/data/sample_image/1129.png
1097,1503,Parks,1,Acer platanoides,Maple - Norway,12,6,30,Mature,-0.129273,51.532223,"(51.532223, -0.129273)",/content/drive/MyDrive/data/sample_image/1130.png
1098,1614,Highways,1,Acer platanoides,Maple - Norway,12,7,16,Semi-mature,-0.126939,51.543727,"(51.543727, -0.126939)",/content/drive/MyDrive/data/sample_image/1131.png
1099,1717,Housing,1,Acer platanoides,Maple - Norway,16,9,52,Mature,-0.149175,51.552151,"(51.552151, -0.149175)",/content/drive/MyDrive/data/sample_image/1132.png
